ANO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2020;3;1937;Centros deportivos;CDM Luis Aragon�s;CALLE EL PROVENCIO, 20 28043 MADRID;HORTALEZA;CANILLAS;44.672.193.157.318.300;4.479.594.566.444.300;-3.628.444;40.465.317;AMCDMLARAGONESVERANO_Interruptor_General;Externo;Energia activa;Activa Interruptor Gral;kWh;30565
2020;3;1937;Centros deportivos;CDM Luis Aragon�s;CALLE EL PROVENCIO, 20 28043 MADRID;HORTALEZA;CANILLAS;44.672.193.157.318.300;4.479.594.566.444.300;-3.628.444;40.465.317;AMCDMLARAGONESVERANO_Gas_General;Externo;Gas;Ninguno;m3;13226,4
2020;3;1937;Centros deportivos;CDM Luis Aragon�s;CALLE EL PROVENCIO, 20 28043 MADRID;HORTALEZA;CANILLAS;44.672.193.157.318.300;4.479.594.566.444.300;-3.628.444;40.465.317;AMCDMLARAGONESVERANO_Interruptor_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;2574
2020;3;1918;Centros deportivos;CDM Cerro Almod�var;CALLE CERRO DE ALMODOVAR, 9 28007 MADRID;VILLA DE VALLECAS;SANTA EUGENIA;4.488.387.331.292.700;4.470.403.717.932.470;-3.602.737;40.382.653;AMCDMCALMODOVARCT_Interruptor_General;Externo;Energia activa;Ninguno;kWh;35192
2020;3;1918;Centros deportivos;CDM Cerro Almod�var;CALLE CERRO DE ALMODOVAR, 9 28007 MADRID;VILLA DE VALLECAS;SANTA EUGENIA;4.488.387.331.292.700;4.470.403.717.932.470;-3.602.737;40.382.653;AMCDMCALMODOVARCT_Interruptor_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;4859
2020;3;1889;Centros deportivos;CDM Pueblo Nuevo;CALLE FRANCISCO RIOJA, 14 28017 MADRID;CIUDAD LINEAL;PUEBLO NUEVO;44.583.939.538.668.300;4.475.685.173.374.120;-363.852;40.430.042;AMCDMPUEBLONUEVO_Interruptor_General;Externo;Energia activa;Activa Interruptor Gral;kWh;15188
2020;3;1889;Centros deportivos;CDM Pueblo Nuevo;CALLE FRANCISCO RIOJA, 14 28017 MADRID;CIUDAD LINEAL;PUEBLO NUEVO;44.583.939.538.668.300;4.475.685.173.374.120;-363.852;40.430.042;AMCDMPUEBLONUEVO_Gas_general;Externo;Gas;Ninguno;m3;3660
2020;3;1889;Centros deportivos;CDM Pueblo Nuevo;CALLE FRANCISCO RIOJA, 14 28017 MADRID;CIUDAD LINEAL;PUEBLO NUEVO;44.583.939.538.668.300;4.475.685.173.374.120;-363.852;40.430.042;AMCDMPUEBLONUEVO_Interruptor_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;6604
2020;3;1119;Centros mixtos;CDI Arganzuela;CALLE CANARIAS, 17 28045 MADRID;ARGANZUELA;PALOS DE MOGUER;44.098.711.269.892.400;44.726.821.351.582.500;-36.954.429.745.674;404.026.590.845.045;AMCDIARGANZUELA_Contador_Electricidad;Externo;Energia activa;Activa Contador Gral - Bus;kWh;41459
2020;3;1119;Centros mixtos;CDI Arganzuela;CALLE CANARIAS, 17 28045 MADRID;ARGANZUELA;PALOS DE MOGUER;44.098.711.269.892.400;44.726.821.351.582.500;-36.954.429.745.674;404.026.590.845.045;AMCDIARGANZUELA_Contador_Gas;Externo;Gas;Gas;m3;38,7
2020;3;1119;Centros mixtos;CDI Arganzuela;CALLE CANARIAS, 17 28045 MADRID;ARGANZUELA;PALOS DE MOGUER;44.098.711.269.892.400;44.726.821.351.582.500;-36.954.429.745.674;404.026.590.845.045;AMCDIARGANZUELA_Contador_Electricidad;Externo;Energia reactiva;Reactiva tarifa 6.1A;kVAr;8505
2020;3;1929;Centros deportivos;CDM Hortaleza;CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID;HORTALEZA;AP�STOL SANTIAGO;4.446.833.187.308.760;4.481.107.056.204.390;-3.652.621;40.478.809;AMCDMHORTALEZACT_Interruptor_General;Externo;Energia activa;Activa Interruptor Gral;kWh;12927
2020;3;1929;Centros deportivos;CDM Hortaleza;CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID;HORTALEZA;AP�STOL SANTIAGO;4.446.833.187.308.760;4.481.107.056.204.390;-3.652.621;40.478.809;AMCDMHORTALEZACT_Gas_General;Externo;Gas;Ninguno;m3;6350
2020;3;1929;Centros deportivos;CDM Hortaleza;CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID;HORTALEZA;AP�STOL SANTIAGO;4.446.833.187.308.760;4.481.107.056.204.390;-3.652.621;40.478.809;AMCDMHORTALEZACT_Interruptor_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;891
2020;3;304;Centros escolares;CEIP Pradolongo;CALLE PARQUE DE LA PALOMA, 9 28026 MADRID;USERA;ZOFIO;4.392.357.269.480.180;4.470.063.370.086.310;-3.715.831;40.378.942;AMCPPRADOLONGO_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;4660,4
2020;3;304;Centros escolares;CEIP Pradolongo;CALLE PARQUE DE LA PALOMA, 9 28026 MADRID;USERA;ZOFIO;4.392.357.269.480.180;4.470.063.370.086.310;-3.715.831;40.378.942;AMCPPRADOLONGO_Gas_General;Externo;Gas;Ninguno;m3;0
2020;3;304;Centros escolares;CEIP Pradolongo;CALLE PARQUE DE LA PALOMA, 9 28026 MADRID;USERA;ZOFIO;4.392.357.269.480.180;4.470.063.370.086.310;-3.715.831;40.378.942;AMCPPRADOLONGO_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;13,9
2020;3;108;Centros escolares;CEIP Puerto Rico;CALLE SEGURA, 74 28041 MADRID;USERA;ORCASITAS;4.389.556.114.543.370;4.468.897.524.748.010;-3.719.019;40.368.419;AMCPPRICO_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;3000,7
2020;3;108;Centros escolares;CEIP Puerto Rico;CALLE SEGURA, 74 28041 MADRID;USERA;ORCASITAS;4.389.556.114.543.370;4.468.897.524.748.010;-3.719.019;40.368.419;AMCPPRICO_Gas_General;Externo;Gas;Ninguno;m3;0
